player,team,salary
Stephen Curry,GSW,55761216
Joel Embiid,PHI,51415938
Nikola Jokic,DEN,51415938
Kevin Durant,PHO,51179021
Bradley Beal,PHO,50203930
Jaylen Brown,BOS,49205800
Devin Booker,PHO,49205800
Karl-Anthony Towns,NYK,49205800
Paul George,PHI,49205800
Kawhi Leonard,LAC,49205800
Jimmy Butler,GSW,48798677
Giannis Antetokounmpo,MIL,48787676
Damian Lillard,MIL,48787676
LeBron James,LAL,48728845
Zach LaVine,SAC,44531940
Rudy Gobert,MIN,43827586
Anthony Davis,DAL,43219440
Luka Doncic,LAL,43031940
Trae Young,ATL,43031940
Fred VanVleet,HOU,42846615
Anthony Edwards,MIN,42176400
Tyrese Haliburton,IND,42176400
Lauri Markkanen,UTA,42176400
Pascal Siakam,IND,42176400
Kyrie Irving,DAL,41000000
Domantas Sabonis,SAC,40500000
Ben Simmons,BRK,40011909
Zion Williamson,NOP,36725670
Ja Morant,MEM,36725670
Darius Garland,CLE,36725670
OG Anunoby,NYK,36637932
Jamal Murray,DEN,36016200
Brandon Ingram,TOR,36016200
Shai Gilgeous-Alexander,OKC,35859950
Michael Porter Jr.,DEN,35859950
Donovan Mitchell,CLE,35410310
Tyrese Maxey,PHI,35147000
LaMelo Ball,CHO,35147000
Jayson Tatum,BOS,34848340
Bam Adebayo,MIA,34848340
De'Aaron Fox,SAS,34848340
Desmond Bane,MEM,34005250
Deandre Ayton,POR,34005126
James Harden,LAC,33653846
CJ McCollum,NOP,33333333
Julius Randle,MIN,33073920
Immanuel Quickley,TOR,32500000
Khris Middleton,WAS,31000000
Jrue Holiday,BOS,30000000
Isaiah Hartenstein,OKC,30000000
Jerami Grant,POR,29793104
Jordan Poole,WAS,29651786
Dejounte Murray,NOP,29517135
Devin Vassell,SAS,29347826
Kristaps Porzingis,BOS,29268293
Tyler Herro,MIA,29000000
Nic Claxton,BRK,27556817
Miles Bridges,CHO,27173913
John Collins,UTA,26580000
Andrew Wiggins,MIA,26276786
Anfernee Simons,POR,25892857
RJ Barrett,TOR,25794643
Tobias Harris,DET,25365854
Jaren Jackson Jr.,MEM,25257798
Jonathan Isaac,ORL,25000000
Jalen Brunson,NYK,24960001
Terry Rozier,MIA,24924126
Kyle Kuzma,MIL,24456061
Draymond Green,GSW,24107143
DeMar DeRozan,SAC,23400000
Mikal Bridges,NYK,23300000
Jaden McDaniels,MIN,23017242
Bruce Brown,NOP,23000000
Brook Lopez,MIL,23000000
Aaron Gordon,DEN,22841455
Kentavious Caldwell-Pope,ORL,22757000
Cameron Johnson,BRK,22500000
Malcolm Brogdon,WAS,22500000
Clint Capela,ATL,22265280
Dillon Brooks,HOU,22255493
De'Andre Hunter,CLE,21696429
Lonzo Ball,CHI,21395348
Marcus Smart,WAS,20210284
Derrick White,BOS,20071429
Jarrett Allen,CLE,20000000
Nikola Vucevic,CHI,20000000
Myles Turner,IND,19928500
Jakob Poeltl,TOR,19500000
Duncan Robinson,MIA,19406000
Norman Powell,LAC,19241379
Bojan Bogdanović,BRK,19032850
Keldon Johnson,SAS,19000000
D'Angelo Russell,BRK,18692307
Collin Sexton,UTA,18350000
Josh Hart,NYK,18144000
Jusuf Nurkic,CHO,18125000
Patrick Williams,CHI,18000000
Harrison Barnes,SAS,18000000
Malik Monk,SAC,17405203
Bogdan Bogdanovic,LAC,17260000
Rui Hachimura,LAL,17000000
Kevin Huerter,CHI,16830357
Zach Collins,CHI,16741200
Caris LeVert,ATL,16615384
Luguentz Dort,OKC,16500000
Tim Hardaway Jr.,DET,16193183
Klay Thompson,DAL,15873016
Deni Avdija,POR,15625000
Grayson Allen,PHO,15625000
P.J. Washington,DAL,15500000
Max Strus,CLE,15212068
Isaiah Stewart,DET,15000000
Dorian Finney-Smith,LAL,14924167
Mitchell Robinson,NYK,14318182
Jordan Clarkson,UTA,14092577
Onyeka Okongwu,ATL,14000000
Naz Reid,MIN,13986432
Cade Cunningham,DET,13940809
Daniel Gafford,DAL,13394160
Grant Williams,CHO,13025250
Dennis Schroder,DET,13025250
Isaiah Joe,OKC,12991650
Herbert Jones,NOP,12976362
