player,team,position,games,mpg,ppg,ast,reb,salary,salary_tier,per,ts_pct,ws,bpm,vorp
Stephen Curry,GSW,PG,70,2252.0,1718.0,421.0,310.0,55761216,Supermax,21.5,0.618,7.9,6.3,4.8
Nikola Jokic,DEN,C,70,2571.0,2071.0,716.0,892.0,51415938,Supermax,32.0,0.663,16.4,13.3,9.8
Kevin Durant,PHO,PF,62,2265.0,1647.0,263.0,374.0,51179021,Supermax,21.2,0.642,5.2,3.2,3.0
Bradley Beal,PHO,SG,53,1702.0,902.0,195.0,177.0,50203930,Supermax,15.2,0.598,2.4,-1.1,0.4
Jaylen Brown,BOS,SF,63,2158.0,1398.0,286.0,368.0,49205800,Supermax,17.8,0.555,5.2,0.0,1.1
Devin Booker,PHO,SG,75,2795.0,1923.0,529.0,305.0,49205800,Supermax,19.3,0.589,6.4,0.4,1.7
Karl-Anthony Towns,NYK,C,72,2517.0,1759.0,222.0,920.0,49205800,Supermax,23.4,0.63,10.1,3.6,3.5
Paul George,PHI,PF,41,1334.0,665.0,178.0,219.0,49205800,Supermax,14.5,0.543,1.0,-0.4,0.5
Jimmy Butler,2TM,SF,55,1746.0,964.0,298.0,296.0,48798677,Supermax,22.4,0.626,8.7,4.9,3.0
Giannis Antetokounmpo,MIL,PF,67,2289.0,2036.0,433.0,798.0,48787676,Supermax,30.5,0.625,11.5,9.5,6.6
Damian Lillard,MIL,PG,58,2093.0,1447.0,410.0,272.0,48787676,Supermax,21.3,0.621,7.6,4.0,3.2
LeBron James,LAL,SF,70,2444.0,1710.0,575.0,546.0,48728845,Supermax,22.7,0.604,7.7,5.6,4.7
Zach LaVine,2TM,SG,74,2602.0,1724.0,310.0,315.0,44531940,Supermax,17.3,0.639,5.1,0.7,1.8
Rudy Gobert,MIN,C,72,2388.0,866.0,127.0,785.0,43827586,Supermax,18.3,0.687,10.1,1.9,2.4
Anthony Davis,2TM,C,51,1706.0,1261.0,181.0,590.0,43219440,Supermax,26.3,0.588,6.7,5.4,3.2
Luka Doncic,2TM,PG,50,1769.0,1408.0,383.0,409.0,43031940,Supermax,24.1,0.587,5.9,6.7,3.9
Trae Young,ATL,PG,76,2739.0,1841.0,880.0,236.0,43031940,Supermax,18.3,0.567,5.7,0.5,1.7
Fred VanVleet,HOU,PG,60,2111.0,844.0,333.0,221.0,42846615,Supermax,12.8,0.515,5.2,0.9,1.5
Anthony Edwards,MIN,SG,79,2871.0,2177.0,359.0,450.0,42176400,Supermax,20.1,0.595,8.4,4.3,4.6
Tyrese Haliburton,IND,PG,73,2451.0,1359.0,673.0,258.0,42176400,Supermax,21.8,0.616,10.4,5.8,4.9
Lauri Markkanen,UTA,PF,47,1476.0,892.0,70.0,278.0,42176400,Supermax,15.6,0.571,2.2,-0.3,0.7
Pascal Siakam,IND,PF,78,2548.0,1578.0,263.0,540.0,42176400,Supermax,19.2,0.599,7.5,1.7,2.4
Kyrie Irving,DAL,SG,50,1804.0,1234.0,231.0,240.0,41000000,Supermax,19.9,0.594,4.6,3.4,2.5
Domantas Sabonis,SAC,C,70,2429.0,1337.0,423.0,972.0,40500000,Supermax,22.9,0.655,10.1,5.2,4.4
Ben Simmons,2TM,PG,51,1120.0,256.0,285.0,241.0,40011909,Supermax,12.4,0.539,1.8,-0.5,0.4
Ja Morant,MEM,PG,50,1519.0,1159.0,364.0,205.0,36725670,Supermax,19.3,0.563,3.5,2.4,1.7
Darius Garland,CLE,PG,75,2301.0,1544.0,506.0,214.0,36725670,Supermax,19.9,0.6,8.1,3.1,3.0
OG Anunoby,NYK,PF,74,2706.0,1332.0,164.0,358.0,36637932,Supermax,15.4,0.591,6.5,0.7,1.9
Jamal Murray,DEN,PG,67,2418.0,1436.0,403.0,261.0,36016200,Supermax,17.8,0.584,6.2,0.8,1.7
Shai Gilgeous-Alexander,OKC,PG,76,2598.0,2484.0,486.0,379.0,35859950,Supermax,30.7,0.637,16.7,11.5,8.9
Michael Porter Jr.,DEN,SF,77,2593.0,1398.0,165.0,540.0,35859950,Supermax,16.2,0.617,6.4,-0.1,1.2
Donovan Mitchell,CLE,SG,71,2232.0,1701.0,354.0,322.0,35410310,Supermax,20.9,0.575,7.6,3.7,3.2
Tyrese Maxey,PHI,PG,52,1960.0,1369.0,317.0,174.0,35147000,Supermax,19.5,0.562,3.8,2.0,2.0
LaMelo Ball,CHO,PG,47,1505.0,1184.0,346.0,232.0,35147000,Supermax,19.1,0.536,2.0,3.2,2.0
Jayson Tatum,BOS,PF,72,2624.0,1932.0,431.0,623.0,34848340,Star,21.7,0.582,9.5,5.2,4.8
Bam Adebayo,MIA,C,78,2674.0,1410.0,337.0,749.0,34848340,Star,18.9,0.561,7.5,2.0,2.7
De'Aaron Fox,2TM,PG,62,2241.0,1459.0,392.0,298.0,34848340,Star,18.3,0.56,4.3,0.4,1.3
Desmond Bane,MEM,SG,69,2205.0,1327.0,369.0,418.0,34005250,Star,17.9,0.6,6.5,3.2,2.9
James Harden,LAC,PG,79,2789.0,1802.0,687.0,456.0,33653846,Star,20.0,0.582,8.3,4.3,4.4
CJ McCollum,NOP,PG,56,1832.0,1183.0,227.0,212.0,33333333,Star,15.8,0.55,1.5,-1.4,0.3
Julius Randle,MIN,PF,69,2226.0,1288.0,323.0,487.0,33073920,Star,17.5,0.593,6.2,1.3,1.8
Jrue Holiday,BOS,PG,62,1896.0,686.0,239.0,265.0,30000000,Star,13.5,0.565,5.1,0.7,1.3
Isaiah Hartenstein,OKC,C,57,1590.0,637.0,219.0,611.0,30000000,Star,18.9,0.599,6.8,3.2,2.1
Jerami Grant,POR,PF,47,1524.0,677.0,101.0,163.0,29793104,Star,10.9,0.523,1.8,-1.6,0.1
Jordan Poole,WAS,SG,68,2001.0,1391.0,303.0,203.0,29651786,Star,16.6,0.591,2.0,0.4,1.2
Devin Vassell,SAS,SG,64,1983.0,1041.0,183.0,255.0,29347826,Star,14.2,0.553,2.2,-1.1,0.4
Kristaps Porzingis,BOS,C,42,1210.0,818.0,87.0,284.0,29268293,Star,22.3,0.618,5.3,4.7,2.1
